#Firmware: Tuareg V0.2 2020.10
Timestamp,event
ms,Id
1.0,52.0
0.0,53.0
7.0,58.0
6.0,58.0
5.0,63.0
4.0,192.0
3.0,197.0
2.0,199.0
1.0,203.0
0.0,203.0
7.0,208.0
6.0,209.0
5.0,214.0
4.0,214.0
3.0,219.0
2.0,222.0
1.0,225.0
0.0,225.0
7.0,230.0
6.0,231.0
5.0,236.0
4.0,236.0
3.0,241.0
2.0,244.0
1.0,247.0
0.0,247.0
7.0,253.0
6.0,253.0
5.0,2.0
4.0,3.0
MARK 000
1.0,52.0
0.0,53.0
7.0,58.0
6.0,58.0
5.0,63.0
4.0,192.0
3.0,197.0
2.0,199.0
1.0,203.0
0.0,203.0
7.0,208.0
6.0,209.0
5.0,214.0
4.0,214.0
3.0,219.0
2.0,222.0
1.0,225.0
0.0,225.0
7.0,230.0
6.0,231.0
5.0,236.0
4.0,236.0
3.0,241.0
2.0,244.0
1.0,247.0
0.0,247.0
7.0,253.0
6.0,253.0
5.0,2.0
4.0,3.0
MARK 001
1.0,52.0
0.0,53.0
7.0,58.0
6.0,58.0
5.0,63.0
4.0,192.0
3.0,197.0
2.0,199.0
1.0,203.0
0.0,203.0
7.0,208.0
6.0,209.0
5.0,214.0
4.0,214.0
3.0,219.0
2.0,222.0
1.0,225.0
0.0,225.0
7.0,230.0
6.0,231.0
5.0,236.0
4.0,236.0
3.0,241.0
2.0,244.0
1.0,247.0
0.0,247.0
7.0,253.0
6.0,253.0
5.0,2.0
4.0,3.0
MARK 002
