#Firmware: Tuareg V0.2 2020.10
event,fraction,Timestamp,time
Id,us,ms,ms
7.0,353.0,114395.0,114395.35
6.0,340.0,114396.0,114396.34
5.0,464.0,114406.0,114406.46
4.0,455.0,114407.0,114407.45
3.0,577.0,114417.0,114417.58
2.0,518.0,114422.0,114422.516
1.0,696.0,114428.0,114428.695
0.0,684.0,114429.0,114429.69
7.0,808.0,114439.0,114439.805
6.0,795.0,114440.0,114440.8
5.0,920.0,114450.0,114450.92
4.0,913.0,114451.0,114451.914
3.0,33.0,114462.0,114462.03
2.0,974.0,114466.0,114466.98
1.0,152.0,114473.0,114473.15
0.0,140.0,114474.0,114474.14
7.0,264.0,114484.0,114484.266
6.0,251.0,114485.0,114485.25
5.0,375.0,114495.0,114495.375
4.0,366.0,114496.0,114496.37
3.0,488.0,114506.0,114506.484
2.0,429.0,114511.0,114511.43
1.0,608.0,114517.0,114517.61
0.0,595.0,114518.0,114518.59
7.0,719.0,114528.0,114528.72
6.0,706.0,114529.0,114529.7
5.0,831.0,114539.0,114539.83
4.0,824.0,114540.0,114540.82
3.0,945.0,114550.0,114550.945
2.0,885.0,114555.0,114555.88
MARK 000
5.0,811.0,117562.0,117562.81
4.0,803.0,117563.0,117563.805
3.0,924.0,117573.0,117573.92
2.0,864.0,117578.0,117578.87
1.0,43.0,117585.0,117585.05
0.0,31.0,117586.0,117586.03
7.0,155.0,117596.0,117596.16
6.0,141.0,117597.0,117597.14
5.0,266.0,117607.0,117607.266
4.0,257.0,117608.0,117608.26
3.0,379.0,117618.0,117618.38
2.0,319.0,117623.0,117623.32
1.0,498.0,117629.0,117629.5
0.0,486.0,117630.0,117630.484
7.0,610.0,117640.0,117640.61
6.0,596.0,117641.0,117641.59
5.0,722.0,117651.0,117651.72
4.0,714.0,117652.0,117652.71
3.0,835.0,117662.0,117662.836
2.0,775.0,117667.0,117667.77
1.0,954.0,117673.0,117673.95
0.0,942.0,117674.0,117674.945
7.0,66.0,117685.0,117685.06
6.0,53.0,117686.0,117686.055
5.0,177.0,117696.0,117696.18
4.0,168.0,117697.0,117697.17
3.0,290.0,117707.0,117707.29
2.0,230.0,117712.0,117712.23
1.0,409.0,117718.0,117718.41
0.0,397.0,117719.0,117719.4
MARK 001
3.0,269.0,120730.0,120730.266
2.0,209.0,120735.0,120735.21
1.0,388.0,120741.0,120741.39
0.0,376.0,120742.0,120742.375
7.0,500.0,120752.0,120752.5
6.0,487.0,120753.0,120753.484
5.0,612.0,120763.0,120763.61
4.0,604.0,120764.0,120764.6
3.0,725.0,120774.0,120774.73
2.0,665.0,120779.0,120779.664
1.0,844.0,120785.0,120785.84
0.0,832.0,120786.0,120786.83
7.0,956.0,120796.0,120796.95
6.0,943.0,120797.0,120797.945
5.0,67.0,120808.0,120808.07
4.0,58.0,120809.0,120809.055
3.0,180.0,120819.0,120819.18
2.0,121.0,120824.0,120824.12
1.0,299.0,120830.0,120830.3
0.0,287.0,120831.0,120831.29
7.0,411.0,120841.0,120841.414
6.0,398.0,120842.0,120842.4
5.0,523.0,120852.0,120852.52
4.0,516.0,120853.0,120853.516
3.0,636.0,120863.0,120863.63
2.0,577.0,120868.0,120868.58
1.0,755.0,120874.0,120874.76
0.0,743.0,120875.0,120875.74
7.0,867.0,120885.0,120885.87
6.0,854.0,120886.0,120886.85
MARK 002
2.0,555.0,123891.0,123891.555
1.0,734.0,123897.0,123897.734
0.0,722.0,123898.0,123898.72
7.0,845.0,123908.0,123908.84
6.0,832.0,123909.0,123909.83
5.0,956.0,123919.0,123919.95
4.0,948.0,123920.0,123920.945
3.0,70.0,123931.0,123931.07
2.0,10.0,123936.0,123936.01
1.0,189.0,123942.0,123942.19
0.0,177.0,123943.0,123943.18
7.0,300.0,123953.0,123953.3
6.0,287.0,123954.0,123954.29
5.0,412.0,123964.0,123964.414
4.0,405.0,123965.0,123965.41
3.0,526.0,123975.0,123975.52
2.0,466.0,123980.0,123980.47
1.0,645.0,123986.0,123986.65
0.0,633.0,123987.0,123987.63
7.0,757.0,123997.0,123997.76
6.0,743.0,123998.0,123998.74
5.0,867.0,124008.0,124008.87
4.0,859.0,124009.0,124009.86
3.0,981.0,124019.0,124019.984
2.0,921.0,124024.0,124024.92
1.0,100.0,124031.0,124031.1
0.0,88.0,124032.0,124032.086
7.0,212.0,124042.0,124042.21
6.0,198.0,124043.0,124043.195
5.0,323.0,124053.0,124053.32
MARK 003
7.0,189.0,127065.0,127065.19
6.0,176.0,127066.0,127066.18
5.0,301.0,127076.0,127076.305
4.0,293.0,127077.0,127077.3
3.0,414.0,127087.0,127087.414
2.0,354.0,127092.0,127092.35
1.0,533.0,127098.0,127098.53
0.0,521.0,127099.0,127099.52
7.0,645.0,127109.0,127109.65
6.0,632.0,127110.0,127110.63
5.0,756.0,127120.0,127120.76
4.0,747.0,127121.0,127121.75
3.0,869.0,127131.0,127131.87
2.0,810.0,127136.0,127136.81
1.0,988.0,127142.0,127142.984
0.0,976.0,127143.0,127143.98
7.0,100.0,127154.0,127154.1
6.0,87.0,127155.0,127155.086
5.0,212.0,127165.0,127165.21
4.0,205.0,127166.0,127166.2
3.0,325.0,127176.0,127176.33
2.0,266.0,127181.0,127181.266
1.0,444.0,127187.0,127187.445
0.0,432.0,127188.0,127188.43
7.0,556.0,127198.0,127198.555
6.0,543.0,127199.0,127199.55
5.0,667.0,127209.0,127209.664
4.0,659.0,127210.0,127210.66
3.0,781.0,127220.0,127220.78
2.0,721.0,127225.0,127225.72
MARK 004
5.0,644.0,130232.0,130232.64
4.0,635.0,130233.0,130233.63
3.0,757.0,130243.0,130243.76
2.0,698.0,130248.0,130248.695
1.0,876.0,130254.0,130254.875
0.0,864.0,130255.0,130255.87
7.0,988.0,130265.0,130265.984
6.0,975.0,130266.0,130266.98
5.0,100.0,130277.0,130277.1
4.0,93.0,130278.0,130278.09
3.0,213.0,130288.0,130288.21
2.0,154.0,130293.0,130293.16
1.0,332.0,130299.0,130299.33
0.0,320.0,130300.0,130300.32
7.0,444.0,130310.0,130310.445
6.0,431.0,130311.0,130311.43
5.0,555.0,130321.0,130321.555
4.0,546.0,130322.0,130322.55
3.0,668.0,130332.0,130332.67
2.0,609.0,130337.0,130337.61
1.0,787.0,130343.0,130343.79
0.0,775.0,130344.0,130344.77
7.0,899.0,130354.0,130354.9
6.0,886.0,130355.0,130355.88
5.0,11.0,130366.0,130366.01
4.0,4.0,130366.0,130366.01
3.0,124.0,130377.0,130377.125
2.0,65.0,130382.0,130382.06
1.0,244.0,130388.0,130388.24
0.0,232.0,130389.0,130389.234
MARK 005
3.0,104.0,133400.0,133400.11
2.0,44.0,133405.0,133405.05
1.0,223.0,133411.0,133411.22
0.0,210.0,133412.0,133412.2
7.0,334.0,133422.0,133422.33
6.0,321.0,133423.0,133423.33
5.0,445.0,133433.0,133433.44
4.0,437.0,133434.0,133434.44
3.0,559.0,133444.0,133444.56
2.0,499.0,133449.0,133449.5
1.0,678.0,133455.0,133455.67
0.0,666.0,133456.0,133456.67
7.0,789.0,133466.0,133466.78
6.0,776.0,133467.0,133467.78
5.0,901.0,133477.0,133477.9
4.0,894.0,133478.0,133478.89
3.0,15.0,133489.0,133489.02
2.0,955.0,133493.0,133493.95
1.0,134.0,133500.0,133500.14
0.0,122.0,133501.0,133501.12
7.0,245.0,133511.0,133511.25
6.0,232.0,133512.0,133512.23
5.0,356.0,133522.0,133522.36
4.0,348.0,133523.0,133523.34
3.0,470.0,133533.0,133533.47
2.0,410.0,133538.0,133538.4
1.0,589.0,133544.0,133544.6
0.0,577.0,133545.0,133545.58
7.0,701.0,133555.0,133555.7
6.0,687.0,133556.0,133556.69
MARK 006
1.0,567.0,136567.0,136567.56
0.0,555.0,136568.0,136568.56
7.0,678.0,136578.0,136578.67
6.0,665.0,136579.0,136579.67
5.0,790.0,136589.0,136589.8
4.0,783.0,136590.0,136590.78
3.0,904.0,136600.0,136600.9
2.0,844.0,136605.0,136605.84
1.0,23.0,136612.0,136612.02
0.0,11.0,136613.0,136613.02
7.0,134.0,136623.0,136623.14
6.0,121.0,136624.0,136624.12
5.0,245.0,136634.0,136634.25
4.0,237.0,136635.0,136635.23
3.0,359.0,136645.0,136645.36
2.0,299.0,136650.0,136650.3
1.0,478.0,136656.0,136656.48
0.0,466.0,136657.0,136657.47
7.0,589.0,136667.0,136667.6
6.0,576.0,136668.0,136668.58
5.0,701.0,136678.0,136678.7
4.0,694.0,136679.0,136679.69
3.0,815.0,136689.0,136689.81
2.0,755.0,136694.0,136694.75
1.0,934.0,136700.0,136700.94
0.0,922.0,136701.0,136701.92
7.0,45.0,136712.0,136712.05
6.0,32.0,136713.0,136713.03
5.0,156.0,136723.0,136723.16
4.0,148.0,136724.0,136724.14
MARK 007
7.0,24.0,139735.0,139735.03
6.0,10.0,139736.0,139736.02
5.0,135.0,139746.0,139746.14
4.0,126.0,139747.0,139747.12
3.0,248.0,139757.0,139757.25
2.0,188.0,139762.0,139762.19
1.0,367.0,139768.0,139768.36
0.0,355.0,139769.0,139769.36
